# z  mu  dmu
     0.817000      43.7770     0.265000
     0.550000      42.3620     0.117000
     0.340200      41.3890    0.0710000
     0.960000      43.6560     0.277000
     0.811000      43.5450     0.198000
     0.961000      44.2630     0.314000
     0.426000      41.8100     0.187000
     0.531000      43.1990     0.248000
     0.333000      40.6780     0.145000
     0.519000      42.6790     0.303000
     0.401000      41.7300     0.196000
     0.205000      40.0080     0.245000
     0.436000      41.9420     0.178000
     0.363000      41.6640     0.175000
     0.436000      41.9540     0.229000
     0.309000      41.1970     0.276000
     0.342000      41.4840     0.155000
     0.159000      39.5590     0.364000
     0.332000      41.2880     0.307000
     0.239000      40.3410     0.183000
     0.352000      41.4310     0.222000
     0.612000      42.8230     0.244000
     0.631000      42.3890     0.182000
     0.645000      42.8960     0.179000
     0.429000      41.8850     0.173000
     0.497000      42.1300     0.200000
     0.539000      42.2740     0.219000
     0.619000      43.0890     0.294000
     0.540000      42.6000     0.272000
     0.218000      40.2330     0.264000
     0.633000      42.1970     0.234000
     0.383000      41.7130     0.346000
     0.302000      41.1920     0.299000
     0.340000      41.1520     0.242000
     0.510000      41.8540     0.176000
     0.399000      41.5180     0.403000
     0.493000      42.2250     0.263000
     0.687000      43.0870     0.286000
     0.502000      41.7600     0.340000
     0.687000      42.7960     0.237000
     0.495000      42.2900     0.184000
     0.603000      42.6380     0.249000
     0.421000      42.4820     0.331000
     0.348000      41.6520     0.179000
     0.213000      40.2690     0.265000
     0.344000      41.1960     0.172000
     0.274000      40.7330     0.195000
     0.181000      39.8160     0.303000
     0.401000      41.9890     0.393000
     0.416000      41.5310     0.336000
     0.286000      41.3650     0.311000
     0.463000      41.9520     0.265000
     0.341000      41.0300     0.217000
     0.631000      43.0150     0.166000
     0.368000      41.5210     0.161000
     0.309000      40.9290     0.218000
     0.528000      42.4480     0.431000
     0.268000      40.7860     0.589000
     0.216000      40.4640     0.283000
     0.695000      42.7510     0.278000
     0.284000      40.8740     0.181000
     0.508000      42.2440     0.193000
     0.670000      43.0660     0.555000
      1.34000      44.9360     0.206000
      1.12000      44.4380     0.145000
     0.490000      42.8780     0.359000
     0.526000      43.3560     0.323000
     0.975200      44.2340     0.161000
     0.216000      40.5830     0.418000
      1.02000      44.2330     0.173000
     0.840000      43.4730     0.120000
     0.970000      44.5650     0.290000
     0.735000      43.0400     0.203000
      1.14000      43.9860     0.960000
     0.854000      43.5970     0.213000
     0.740000      43.2340     0.138000
      1.30700      45.0870     0.315000
     0.839000      43.3680     0.288000
      1.30500      44.6270     0.265000
     0.935000      43.5920     0.177000
     0.460000      42.2270     0.250000
      1.23000      44.8240     0.250000
     0.640000      42.8460     0.876000
     0.954000      44.2790     0.335000
      1.55100      45.7500      1.16300
     0.954000      44.0430     0.318000
      1.26500      44.7860     0.142000
     0.521000      42.3540     0.203000
      1.23000      44.8320     0.152000
      1.02000      44.0300     0.189000
      1.39000      44.7970     0.176000
      1.01000      44.8040     0.328000
     0.900000      43.1410     0.131000
      1.37000      45.0690     0.185000
      1.14000      44.2530     0.133000
      1.30000      44.9050     0.151000
